epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3740.16,1.27633,0.62534,1.05901,0.97695,0.9773,0.98672,0.57636,1.32195,2.58737,0.94197,0.00406,0.00406,0.00406
62,3801.42,1.27151,0.62035,1.05261,0.97462,0.98334,0.98717,0.58361,1.32463,0.94889,0.94615,0.003961,0.003961,0.003961
63,3862.66,1.27008,0.61934,1.04877,0.97664,0.97878,0.98721,0.58278,1.31728,1.60528,0.9429,0.003862,0.003862,0.003862
64,3923.78,1.26534,0.60286,1.05433,0.97083,0.98881,0.98858,0.5852,1.31607,0.59342,0.94305,0.003763,0.003763,0.003763
65,3984.99,1.25582,0.60714,1.04749,0.97836,0.98189,0.98779,0.58087,1.31536,0.72647,0.94038,0.003664,0.003664,0.003664
66,4046.22,1.26011,0.5942,1.05427,0.97074,0.98647,0.98738,0.58408,1.31473,0.65834,0.94263,0.003565,0.003565,0.003565
67,4107.41,1.25033,0.59136,1.0508,0.97671,0.98412,0.98929,0.58675,1.31449,2.45945,0.94128,0.003466,0.003466,0.003466
68,4168.54,1.24169,0.58202,1.04763,0.97843,0.99016,0.98959,0.58398,1.32252,0.67148,0.94386,0.003367,0.003367,0.003367
69,4229.64,1.24786,0.58617,1.05174,0.9802,0.98955,0.98923,0.58598,1.32014,0.50663,0.94563,0.003268,0.003268,0.003268
70,4290.8,1.23846,0.58843,1.04143,0.97851,0.9869,0.98934,0.58673,1.31982,0.57344,0.94467,0.003169,0.003169,0.003169
71,4352.02,1.23294,0.57751,1.04075,0.97578,0.98544,0.98855,0.5921,1.31028,0.51899,0.93878,0.00307,0.00307,0.00307
72,4413.24,1.22857,0.57617,1.03866,0.97496,0.98997,0.99004,0.59424,1.30743,0.55827,0.93582,0.002971,0.002971,0.002971
73,4474.53,1.21654,0.57007,1.03825,0.97739,0.98661,0.98917,0.59205,1.31074,0.61104,0.93856,0.002872,0.002872,0.002872
74,4535.77,1.21131,0.56051,1.03481,0.97655,0.98672,0.98859,0.59079,1.30939,0.58297,0.93862,0.002773,0.002773,0.002773
75,4596.94,1.21537,0.56428,1.03546,0.98016,0.98719,0.9889,0.5954,1.29846,0.60593,0.93522,0.002674,0.002674,0.002674
76,4658.12,1.20932,0.56315,1.03451,0.97987,0.98729,0.98935,0.59788,1.29814,0.51025,0.93342,0.002575,0.002575,0.002575
77,4719.34,1.20471,0.55341,1.02667,0.97969,0.98958,0.99009,0.60499,1.28454,0.47528,0.92916,0.002476,0.002476,0.002476
78,4780.53,1.1999,0.54731,1.02435,0.98096,0.9882,0.9893,0.60249,1.27672,0.48129,0.92773,0.002377,0.002377,0.002377
79,4841.71,1.18844,0.5412,1.02918,0.97973,0.98725,0.98913,0.605,1.27422,0.45835,0.9262,0.002278,0.002278,0.002278
80,4902.84,1.18893,0.54218,1.02055,0.97811,0.98821,0.98943,0.6072,1.27637,0.45668,0.92695,0.002179,0.002179,0.002179
81,4964,1.18281,0.5405,1.02322,0.98085,0.98584,0.98974,0.60677,1.27082,0.44971,0.92377,0.00208,0.00208,0.00208
82,5025.21,1.17607,0.53643,1.01801,0.98282,0.9868,0.98998,0.60827,1.27126,0.45166,0.92369,0.001981,0.001981,0.001981
83,5086.55,1.17442,0.53829,1.01676,0.97946,0.9909,0.99067,0.60563,1.26977,0.46501,0.92361,0.001882,0.001882,0.001882
84,5147.7,1.16699,0.52788,1.01625,0.98143,0.99027,0.99107,0.60941,1.2632,0.46318,0.92173,0.001783,0.001783,0.001783
85,5208.88,1.15808,0.52597,1.01466,0.9775,0.99138,0.99109,0.61198,1.26217,0.45897,0.921,0.001684,0.001684,0.001684
86,5270.09,1.1577,0.52287,1.01307,0.97739,0.99099,0.98985,0.61013,1.26341,0.46048,0.92132,0.001585,0.001585,0.001585
87,5331.25,1.14742,0.51744,1.00549,0.97721,0.99116,0.99075,0.61214,1.25809,0.46482,0.91987,0.001486,0.001486,0.001486
88,5392.37,1.14256,0.51512,1.00788,0.97981,0.98791,0.99096,0.61068,1.25894,0.46753,0.92047,0.001387,0.001387,0.001387
89,5453.56,1.12801,0.50895,1.00459,0.97985,0.98733,0.99091,0.61286,1.25306,0.46651,0.91878,0.001288,0.001288,0.001288
90,5514.79,1.13966,0.51302,1.00702,0.9802,0.98761,0.99093,0.61465,1.24847,0.46299,0.91754,0.001189,0.001189,0.001189
91,5577.21,1.12401,0.47208,1.03912,0.98162,0.99006,0.99155,0.61213,1.25408,0.46083,0.9187,0.00109,0.00109,0.00109
92,5638.09,1.10873,0.45861,1.03435,0.98146,0.99029,0.99155,0.61221,1.25302,0.4556,0.91793,0.000991,0.000991,0.000991
93,5699.02,1.10651,0.45091,1.02948,0.98146,0.98968,0.99175,0.61531,1.2482,0.44559,0.91684,0.000892,0.000892,0.000892
94,5759.95,1.09407,0.44629,1.02652,0.98153,0.9902,0.99186,0.61699,1.24759,0.43939,0.91626,0.000793,0.000793,0.000793
95,5820.86,1.0907,0.44049,1.02837,0.98066,0.99044,0.99155,0.61936,1.24549,0.43626,0.91561,0.000694,0.000694,0.000694
96,5881.78,1.08456,0.44212,1.02262,0.98162,0.9912,0.99196,0.6211,1.2439,0.43486,0.91511,0.000595,0.000595,0.000595
97,5942.69,1.07471,0.43505,1.01721,0.98117,0.99022,0.99167,0.62152,1.24366,0.43233,0.91528,0.000496,0.000496,0.000496
98,6003.46,1.07083,0.43934,1.01654,0.98201,0.99082,0.99211,0.62196,1.24198,0.43139,0.91482,0.000397,0.000397,0.000397
99,6064.23,1.06454,0.43098,1.01733,0.98215,0.99058,0.99212,0.62085,1.23924,0.43053,0.91402,0.000298,0.000298,0.000298
100,6125,1.05562,0.42898,1.00745,0.98163,0.98998,0.99177,0.62105,1.2377,0.42904,0.91368,0.000199,0.000199,0.000199
