epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3688.85,1.30494,0.65495,1.07573,0.97215,0.98242,0.98495,0.55987,1.37008,1.15584,0.96729,0.006106,0.006106,0.006106
61,3750.2,1.30849,0.65239,1.07162,0.95386,0.97124,0.98298,0.56355,1.34456,29.8599,0.95343,0.00604,0.00604,0.00604
62,3811.71,1.30379,0.64623,1.06575,0.97729,0.97823,0.9841,0.56297,1.37236,1.66899,0.96517,0.005974,0.005974,0.005974
63,3873.2,1.30089,0.64758,1.06259,0.9725,0.98248,0.98621,0.56874,1.34602,0.78757,0.95519,0.005908,0.005908,0.005908
64,3934.66,1.29865,0.63253,1.06807,0.97776,0.98031,0.98549,0.57784,1.33699,0.93854,0.95179,0.005842,0.005842,0.005842
65,3996.02,1.29277,0.63944,1.06303,0.97596,0.98614,0.98748,0.57413,1.33996,0.95856,0.94912,0.005776,0.005776,0.005776
66,4057.49,1.29725,0.63093,1.06982,0.97929,0.98071,0.98615,0.57338,1.3419,0.62038,0.95275,0.00571,0.00571,0.00571
67,4118.87,1.28442,0.62129,1.06411,0.97929,0.98525,0.98778,0.57898,1.32387,2.5102,0.94624,0.005644,0.005644,0.005644
68,4180.38,1.27815,0.61639,1.06274,0.97784,0.98791,0.98825,0.58444,1.32429,0.97659,0.94493,0.005578,0.005578,0.005578
69,4241.73,1.28586,0.61956,1.06763,0.97849,0.98643,0.98854,0.58334,1.33039,1.09337,0.94697,0.005512,0.005512,0.005512
70,4303.14,1.27881,0.62147,1.05851,0.98361,0.98219,0.98821,0.58844,1.31957,2.14542,0.94352,0.005446,0.005446,0.005446
71,4364.7,1.27905,0.61346,1.0576,0.97959,0.98602,0.98679,0.58858,1.3155,0.70988,0.94314,0.00538,0.00538,0.00538
72,4426.07,1.27355,0.60767,1.05789,0.98183,0.98566,0.98947,0.58665,1.33165,1.1413,0.94946,0.005314,0.005314,0.005314
73,4487.59,1.26408,0.60861,1.05658,0.98114,0.98632,0.98997,0.58624,1.32205,0.86555,0.9451,0.005248,0.005248,0.005248
74,4549.07,1.25442,0.59621,1.05075,0.97695,0.98888,0.99009,0.58844,1.31972,0.81361,0.94381,0.005182,0.005182,0.005182
75,4610.58,1.26334,0.60539,1.05467,0.98036,0.98832,0.98943,0.58656,1.32639,1.14578,0.94653,0.005116,0.005116,0.005116
76,4672.03,1.26015,0.60268,1.05427,0.98028,0.98814,0.98985,0.59213,1.32004,0.76695,0.94407,0.00505,0.00505,0.00505
77,4733.5,1.247,0.59398,1.04344,0.97958,0.98924,0.99061,0.594,1.30822,0.85211,0.93943,0.004984,0.004984,0.004984
78,4795.02,1.25106,0.5904,1.04388,0.97779,0.98903,0.99102,0.59096,1.30808,1.06523,0.94012,0.004918,0.004918,0.004918
79,4856.43,1.23954,0.58661,1.05061,0.97822,0.99111,0.99091,0.59469,1.3082,0.87106,0.94158,0.004852,0.004852,0.004852
80,4917.87,1.24441,0.58659,1.04241,0.97804,0.98944,0.99044,0.60005,1.29701,0.6054,0.93657,0.004786,0.004786,0.004786
81,4979.34,1.23612,0.58625,1.04546,0.9808,0.98685,0.98995,0.60165,1.29009,0.65437,0.93321,0.00472,0.00472,0.00472
82,5040.82,1.23099,0.58204,1.03981,0.98275,0.98931,0.99095,0.60263,1.29758,0.66734,0.93453,0.004654,0.004654,0.004654
83,5102.2,1.22913,0.58061,1.03829,0.98299,0.98844,0.99101,0.60247,1.29086,0.67555,0.93164,0.004588,0.004588,0.004588
84,5163.5,1.22556,0.57689,1.0383,0.98223,0.98859,0.99084,0.60222,1.28947,0.70654,0.93192,0.004522,0.004522,0.004522
85,5224.94,1.21517,0.57342,1.03781,0.98146,0.98912,0.98992,0.60455,1.27478,0.72453,0.92671,0.004456,0.004456,0.004456
86,5286.47,1.21385,0.5686,1.03583,0.98184,0.98829,0.98925,0.60399,1.27831,0.60315,0.92846,0.00439,0.00439,0.00439
87,5347.82,1.20957,0.56274,1.02847,0.98181,0.98892,0.98968,0.60419,1.27835,0.63013,0.92842,0.004324,0.004324,0.004324
88,5409.16,1.20959,0.56365,1.03245,0.98271,0.98865,0.99054,0.60079,1.28778,0.64443,0.93153,0.004258,0.004258,0.004258
89,5470.52,1.19264,0.55532,1.03025,0.98135,0.98877,0.99065,0.60408,1.27869,0.56165,0.92877,0.004192,0.004192,0.004192
90,5531.72,1.20291,0.56393,1.03065,0.98065,0.991,0.98997,0.60374,1.27843,0.53079,0.92928,0.004126,0.004126,0.004126
91,5593.09,1.19233,0.55764,1.03004,0.98188,0.99059,0.99109,0.61085,1.26741,0.51967,0.92464,0.00406,0.00406,0.00406
92,5654.38,1.19337,0.5549,1.02328,0.98296,0.99121,0.99113,0.60901,1.26998,0.49597,0.92625,0.003994,0.003994,0.003994
93,5715.69,1.19089,0.54879,1.02752,0.98366,0.99147,0.99134,0.60719,1.27254,0.48644,0.92675,0.003928,0.003928,0.003928
